,beverage_category,beverage,beverage_prep,calories,total fat,trans fat,saturated fat, sodium,total carbohydrates,cholesterol,dietary fibre,sugars,protein,vitamin a,vitamin c,calcium,iron,caffeine
172,smoothies,bananachocolatesmoothie,Grande Nonfat Milk,280,2.5,1.5,0.0,5,150,53,7,34,20.0,10.0,15.0,20.0,0.0,89.52054794520548
173,smoothies,bananachocolatesmoothie,2% Milk,300,5.0,2.5,0.1,15,160,53,7,34,20.0,8.0,15.0,20.0,20.0,15.0
174,smoothies,bananachocolatesmoothie,Soymilk,290,4.5,1.5,0.0,5,150,51,7,31,19.0,6.0,15.0,20.0,20.0,15.0
175,smoothies,orangemangobananasmoothie,Grande Nonfat Milk,260,1.0,0.3,0.0,5,120,54,6,37,16.0,50.0,80.0,10.0,30.0,15.0
176,smoothies,orangemangobananasmoothie,2% Milk,270,1.5,0.5,0.0,5,125,53,6,37,16.0,50.0,80.0,10.0,6.0,0.0
177,smoothies,orangemangobananasmoothie,Soymilk,270,1.5,0.4,0.0,5,120,53,6,36,15.0,50.0,80.0,10.0,6.0,0.0
178,smoothies,strawberrybananasmoothie,Grande Nonfat Milk,290,1.0,0.3,0.0,5,125,58,7,41,16.0,4.0,100.0,10.0,8.0,0.0
179,smoothies,strawberrybananasmoothie,2% Milk,290,2.0,1.0,0.0,5,125,58,7,41,16.0,4.0,100.0,10.0,8.0,0.0
180,smoothies,strawberrybananasmoothie,Soymilk,290,2.0,0.4,0.0,5,120,58,8,40,16.0,2.0,100.0,10.0,8.0,0.0
181,frappuccinoblendedcoffee,coffee,Tall Nonfat Milk,160,0.1,0.0,0.0,0,160,36,0,36,3.0,4.0,0.0,10.0,10.0,0.0
182,frappuccinoblendedcoffee,coffee,Whole Milk,180,2.5,1.5,0.1,10,160,36,0,36,3.0,4.0,0.0,8.0,0.0,70.0
183,frappuccinoblendedcoffee,coffee,Soymilk,160,1.5,0.2,0.0,0,150,35,0,34,2.0,4.0,0.0,10.0,0.0,70.0
184,frappuccinoblendedcoffee,coffee,Grande Nonfat Milk,220,0.1,0.1,0.0,0,210,51,0,50,4.0,6.0,0.0,10.0,4.0,70.0
185,frappuccinoblendedcoffee,coffee,Whole Milk,240,3.0,2.0,0.1,10,220,50,0,50,3.0,4.0,0.0,10.0,0.0,95.0
186,frappuccinoblendedcoffee,coffee,Soymilk,220,1.5,0.2,0.0,0,210,49,0,47,3.0,4.0,0.0,10.0,0.0,95.0
187,frappuccinoblendedcoffee,coffee,Venti Nonfat Milk,310,0.1,0.1,0.0,5,300,70,0,69,6.0,10.0,0.0,20.0,6.0,95.0
188,frappuccinoblendedcoffee,coffee,Whole Milk,350,5.0,3.0,0.2,15,300,70,0,69,5.0,8.0,0.0,15.0,2.0,130.0
189,frappuccinoblendedcoffee,coffee,Soymilk,310,2.5,0.3,0.0,0,300,68,1,66,5.0,6.0,0.0,20.0,2.0,130.0
190,frappuccinoblendedcoffee,mochawithoutwhippedcream,Tall Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4.0,0.0,10.0,8.0,130.0
191,frappuccinoblendedcoffee,mochawithoutwhippedcream,Whole Milk,200,3.0,2.0,0.1,10,160,42,1,40,3.0,4.0,0.0,8.0,6.0,70.0
192,frappuccinoblendedcoffee,mochawithoutwhippedcream,Soymilk,180,2.0,0.5,0.0,0,150,40,1,38,3.0,4.0,0.0,10.0,10.0,70.0
193,frappuccinoblendedcoffee,mochawithoutwhippedcream,Grande Nonfat Milk,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6.0,0.0,10.0,8.0,110.0
194,frappuccinoblendedcoffee,mochawithoutwhippedcream,Whole Milk,290,4.0,2.5,0.1,10,220,61,1,58,4.0,4.0,0.0,10.0,8.0,110.0
195,frappuccinoblendedcoffee,mochawithoutwhippedcream,Soymilk,260,2.5,0.5,0.0,0,220,59,1,55,4.0,4.0,0.0,10.0,15.0,110.0
196,frappuccinoblendedcoffee,mochawithoutwhippedcream,Venti Nonfat Milk,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10.0,0.0,15.0,10.0,140.0
197,frappuccinoblendedcoffee,mochawithoutwhippedcream,Whole Milk,390,6.0,3.5,0.1,15,300,80,1,76,6.0,8.0,0.0,15.0,10.0,140.0
198,frappuccinoblendedcoffee,mochawithoutwhippedcream,Soymilk,350,3.0,1.0,0.0,0,290,78,2,73,6.0,6.0,0.0,20.0,20.0,140.0
199,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Tall Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4.0,0.0,10.0,0.0,70.0
200,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Whole Milk,200,2.5,1.5,0.1,10,160,42,0,41,3.0,4.0,0.0,8.0,0.0,70.0
201,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Soymilk,180,1.5,0.2,0.0,0,150,40,0,39,2.0,4.0,0.0,10.0,4.0,70.0
202,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Grande Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6.0,0.0,10.0,0.0,100.0
203,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Whole Milk,280,3.5,2.0,0.1,10,220,60,0,59,3.0,4.0,0.0,10.0,0.0,100.0
204,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Soymilk,260,1.5,0.2,0.0,0,220,58,0,56,3.0,4.0,0.0,10.0,6.0,100.0
205,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Venti Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10.0,0.0,15.0,2.0,130.0
206,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Whole Milk,370,5.0,3.0,0.1,15,300,78,0,77,5.0,8.0,0.0,15.0,2.0,130.0
207,frappuccinoblendedcoffee,caramelwithoutwhippedcream,Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,6.0,0.0,20.0,8.0,130.0
208,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Tall Nonfat Milk,220,3.0,2.0,0.0,0,170,47,1,44,4.0,4.0,0.0,10.0,20.0,75.0
209,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Whole Milk,240,5.0,3.5,0.1,10,170,47,1,44,4.0,4.0,0.0,8.0,20.0,75.0
210,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Soymilk,220,4.0,2.5,0.0,0,170,45,1,42,3.0,4.0,0.0,10.0,20.0,75.0
211,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Grande Nonfat Milk,310,4.0,3.0,0.0,0,250,67,2,62,5.0,6.0,0.0,10.0,25.0,110.0
212,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Whole Milk,340,7.0,5.0,0.1,10,250,67,2,62,5.0,4.0,0.0,10.0,25.0,110.0
213,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Soymilk,310,6.0,3.5,0.0,0,240,65,2,60,4.0,4.0,0.0,10.0,30.0,110.0
214,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Venti Nonfat Milk,420,5.0,4.0,0.0,5,340,90,2,84,7.0,10.0,0.0,20.0,35.0,145.0
215,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Whole Milk,460,10.0,7.0,0.2,15,340,90,2,84,7.0,6.0,0.0,15.0,35.0,145.0
216,frappuccinoblendedcoffee,javachipwithoutwhippedcream,Soymilk,430,8.0,4.5,0.0,0,330,88,3,80,6.0,6.0,0.0,20.0,40.0,145.0
217,frappuccinolightblendedcoffee,coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,4.0,0.0,10.0,0.0,70.0
218,frappuccinolightblendedcoffee,coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,6.0,0.0,10.0,0.0,95.0
219,frappuccinolightblendedcoffee,coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,8.0,0.0,15.0,2.0,120.0
220,frappuccinolightblendedcoffee,mocha,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,4.0,0.0,8.0,6.0,70.0
221,frappuccinolightblendedcoffee,mocha,Grande Nonfat Milk,150,1.0,0.5,0.0,0,200,33,1,30,4.0,6.0,0.0,10.0,8.0,95.0
222,frappuccinolightblendedcoffee,mocha,Venti Nonfat Milk,210,1.0,0.5,0.0,5,280,46,1,42,6.0,8.0,0.0,15.0,10.0,130.0
223,frappuccinolightblendedcoffee,caramel,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,4.0,0.0,8.0,0.0,65.0
224,frappuccinolightblendedcoffee,caramel,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,6.0,0.0,10.0,0.0,90.0
225,frappuccinolightblendedcoffee,caramel,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,8.0,0.0,15.0,2.0,120.0
226,frappuccinolightblendedcoffee,javachip,Tall Nonfat Milk,150,3.0,2.0,0.0,0,170,30,1,27,4.0,4.0,0.0,10.0,20.0,70.0
227,frappuccinolightblendedcoffee,javachip,Grande Nonfat Milk,220,4.0,3.0,0.0,0,240,43,2,39,5.0,6.0,0.0,10.0,25.0,105.0
228,frappuccinolightblendedcoffee,javachip,Venti Nonfat Milk,290,5.0,4.0,0.0,5,320,58,2,52,7.0,8.0,0.0,15.0,35.0,165.0
229,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,6.0,6.0,10.0,2.0,0.0
230,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Whole Milk,190,3.0,1.5,0.1,10,140,38,0,37,3.0,4.0,6.0,10.0,2.0,0.0
231,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,4.0,6.0,10.0,6.0,0.0
232,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,8.0,6.0,15.0,4.0,0.0
233,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Whole Milk,260,4.0,2.0,0.1,10,190,53,0,52,4.0,6.0,6.0,15.0,4.0,0.0
234,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Soymilk,240,2.0,0.2,0.0,0,180,51,1,49,3.0,4.0,6.0,15.0,8.0,0.0
235,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,10.0,8.0,20.0,4.0,0.0
236,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Whole Milk,350,6.0,3.0,0.2,15,260,70,0,68,6.0,8.0,8.0,20.0,4.0,0.0
237,frappuccinoblendedcrème,strawberriescrèmewithoutwhippedcream,Soymilk,320,3.2,0.4,0.0,0,250,67,1,64,5.0,6.0,8.0,20.0,10.0,0.0
238,frappuccinoblendedcrème,vanillabeanwithoutwhippedcream,Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,6.0,0.0,10.0,0.0,0.0
239,frappuccinoblendedcrème,vanillabeanwithoutwhippedcream,Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,6.0,0.0,10.0,0.0,0.0
240,frappuccinoblendedcrème,vanillabeanwithoutwhippedcream,Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,4.0,0.0,10.0,6.0,0.0
241,frappuccinoblendedcrème,vanillabeanwithoutwhippedcream,Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,8.0,0.0,15.0,0.0,0.0
